date,USD
20180406,3.979
20180506,3.9735
20180606,3.972
20180706,3.9745
20180806,3.983
20181106,3.9875
20181206,3.9895
20180613,3.9955
20180614,3.9915
20180618,3.9985
20180619,3.998
20180620,4.0075
20180621,4.012
20180622,4.0135
20180625,4.0135
20180626,4.02
20180627,4.0275
20180628,4.0385
20180629,4.0385
20180207,4.04
20180307,4.049
20180407,4.0465
20180507,4.0455
20180607,4.0465
20180907,4.032
20181007,4.0085
20181107,4.03
20181207,4.0405
20180713,4.04
20180716,4.0485
20180717,4.045
20180718,4.0575
20180719,4.0575
20180720,4.0655
20180723,4.058
20180724,4.0675
20180725,4.0635
20180726,4.055
20180727,4.0625
20180730,4.065
20180731,4.0605
20180108,4.0655
20180208,4.0725
20180308,4.0825
20180608,4.0775
20180708,4.0845
20180808,4.076
20180908,4.072
20181008,4.0795
20180813,4.0925
20180814,4.0965
20180815,4.103
20180816,4.1005
20180817,4.104
20180820,4.103
20180821,4.094
20180823,4.105
20180824,4.1095
20180827,4.0995
20180828,4.097
20180829,4.103
20180830,4.1075
20180309,4.124
20180409,4.1355
20180509,4.1435
20180609,4.1465
20180709,4.1435
20181209,4.1495
20180913,4.1425
20180914,4.1415
20180918,4.146
20180919,4.144
20180920,4.1375
20180921,4.131
20180924,4.1345
20180925,4.1345
20180926,4.1415
20180927,4.1375
20180928,4.1405
20180110,4.1415
20180210,4.138
20180310,4.139
20180410,4.147
20180510,4.1455
20180810,4.152
20180910,4.1575
20181010,4.153
20181110,4.159
20181210,4.156
20181015,4.158
20181016,4.1555
20181017,4.154
20181018,4.156
20181019,4.16
20181022,4.158
20181023,4.1625
20181024,4.1625
20181025,4.1695
20181026,4.1775
20181029,4.179
20181030,4.18
20181031,4.1825
20180111,4.1845
20180211,4.1725
20180511,4.1695
20180711,4.1715
20180811,4.167
20180911,4.1785
20181211,4.1845
20181113,4.195
20181114,4.1925
20181115,4.189
20181116,4.192
20181119,4.191
20181121,4.1995
20181122,4.1925
20181123,4.196
20181126,4.1925
20181127,4.1935
20181128,4.195
20181129,4.19
20181130,4.188
20180312,4.178
20180412,4.1575
20180512,4.1565
20180612,4.1655
20180712,4.162
20181012,4.1705
20181112,4.1805
20181212,4.1825
20181213,4.1825
20181214,4.1815
20181217,4.187
20181218,4.1775
20181219,4.18
20181220,4.184
20181221,4.1795
20181224,4.1825
20181226,4.1795
20181227,4.1765
20181228,4.156
20181231,4.1385
20190201,4.139
20190301,4.1425
20190401,4.1395
20190701,4.1105
20190801,4.113
20190901,4.114
20191001,4.0955
20191101,4.096
20190114,4.0975
20190115,4.0975
20190116,4.1125
20190117,4.109
20190118,4.116
20190122,4.128
20190123,4.1335
20190124,4.136
20190125,4.136
20190128,4.11
20190129,4.1135
20190130,4.109
20190131,4.089
20190402,4.0925
20190702,4.0785
20190802,4.0725
20191102,4.0725
20191202,4.077
20190213,4.065
20190214,4.063
20190215,4.0805
20190218,4.0785
20190219,4.088
20190220,4.0695
20190221,4.0695
20190222,4.0825
20190225,4.0705
20190226,4.072
